Name	Rules	Cutoff (in kilobases)	Extension (in kilobases)
t1pks	(PKS_KS & PKS_AT) or (ene_KS & PKS_AT) or (mod_KS & PKS_AT) or (hyb_KS & PKS_AT) or (itr_KS & PKS_AT) or (tra_KS & PKS_AT)	20	20
transatpks	(PKS_KS & ATd) or (ene_KS & ATd) or (mod_KS & ATd) or (hyb_KS & ATd) or (itr_KS & ATd) or (tra_KS & ATd)	20	20
t2pks	t2ks or t2clf or t2pks2	20	20
t3pks	Chal_sti_synt_C or Chal_sti_synt_N	20	20
hglks	hglE or hglD	20	20
nrps	(Condensation & AMP-binding) or (Condensation & A-OX) or cluster(Condensation,AMP-binding)	20	20
terpene	Terpene_Synth or Terpene_synth_C or phytoene_synt or Lycopene_cycl or terpene_cyclase or NapT7 or fung_ggpps or fung_ggpps2 or dmat or trichodiene_synth	20	10
lantipeptide	(Lant_dehyd_N & Lant_dehyd_C) or cluster(LANC_like,Flavoprotein) or cluster(LANC_like,Trp_halogenase) or cluster(LANC_like,p450) or (LANC_like & Pkinase) or (LANC_like & DUF4135) or cluster(LANC_like,Lant_dehyd_N) or cluster(LANC_like,Lant_dehyd_C) or cluster(LANC_like,adh_short) or cluster(LANC_like,adh_short_C2) or TIGR03731 or Antimicr18 or Gallidermin or L_biotic_A or TIGR03731 or leader_d or leader_eh or leader_abc or mature_d or mature_ab or mature_a or mature_b or mature_ha or mature_h_beta or lacticin_l or lacticin_mat or LD_lanti_pre or strep_PEQAXS	20	10
bacteriocin	strepbact or Antimicrobial14 or Bacteriocin_IId or BacteriocIIc_cy or Bacteriocin_II or Bacteriocin_IIi or Lactococcin or Antimicrobial17 or Lactococcin_972 or Bacteriocin_IIc or LcnG-beta or Bacteriocin_Iii or Subtilosin_A or Cloacin or Linocin_M18 or TIGR03603 or TIGR03604 or TIGR03605 or TIGR03651 or TIGR03678 or TIGR03693 or TIGR03798 or TIGR03882 or TIGR03601 or TIGR03602 or TIGR03795 or TIGR03793 or TIGR03975 or mvnA or thiostrepton or subtilosin or cypemycin or mvd or lasso or DUF692 or micJ25 or mcjC or glycocin or botH or skfc or thuricin or sublancin	20	5
blactam	BLS or CAS or tabtoxin	20	10
amglyccycl	strH or strK1 or strK2 or NeoL or DOIS or ValA or SpcFG or SpcDK_glyc or salQ	20	10
aminocoumarin	novK or novJ or novI or novH or SpcDK_cou	20	10
siderophore	IucA_IucC	20	5
ectoine	ectoine_synt	20	5
butyrolactone	AfsA	20	5
indole	indsynth	20	10
nucleoside	LipM or LipU or LipV or LipU or ToyB or TunD or pur6 or pur10 or nikJ or nikO	20	10
phosphoglycolipid	MoeO5 or moeGT	20	10
melanin	melC	20	5
oligosaccharide	minimum(3,[Glycos_transf_1,Glycos_transf_2,Glyco_transf_28,MGT,MGT2,DUF1205], [MGT2])	20	10
furan	mmyO	20	5
hserlactone	Autoind_synth	20	10
thiopeptide	cluster(Lant_dehyd_C,YcaO) or cluster(Lant_dehyd_N,YcaO)	20	10
phenazine	phzB	20	10
phosphonate	phosphonates	20	20
other	(PP-binding & AMP-binding) or (PP-binding & A-OX) or (NAD_binding_4 & A-OX) or (NAD_binding_4 & AMP-binding) or LmbU or goadsporin_like or Neocarzinostat or cyanobactin_synth or cycdipepsynth or fom1 or bcpB or frbD or mitE or vlmB or prnB or CaiA or bacilysin or cypI	20	20
